DestinationRef,DestinationType,ShipToID,Longitude,Latitude,Suburb,City,SA4,State,Country
3001BR,Branch,3001BR,"151,0012589","-33,7975559",North Parramatta,Parramatta,Sydney - Parramatta,New South Wales,Australia
3002BR,Branch,3002BR,"149,2063","-35,347",Queanbeyan,Queanbeyan,Capital Region,New South Wales,Australia
3003BR,Branch,3003BR,"147,343011","-35,122016",Wagga Wagga,Wagga Wagga,Riverina,New South Wales,Australia
3004BR,Branch,3004BR,"150,8500198","-33,7609951",Glendenning,Blacktown,Sydney - Blacktown,New South Wales,Australia
3005BR,Branch,3005BR,"153,1294681","-30,28712578",Coffs Harbour,Coffs Harbour,Coffs Harbour - Grafton,New South Wales,Australia
3006BR,Branch,3006BR,"151,0618","-33,9378",Punchbowl,Canterbury,Sydney - Inner South West,New South Wales,Australia
3007BR,Branch,3007BR,"149,1386429","-35,21589553",Mitchell,Unincorporated Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australia
3008BR,Branch,3008BR,"151,661852","-32,961623",Warners Bay,Lake Macquarie,Newcastle and Lake Macquarie,New South Wales,Australia
3009BR,Branch,3009BR,"150,6963627","-33,74281742",Penrith,Penrith,Sydney - Outer West and Blue Mountains,New South Wales,Australia
3010BR,Branch,3010BR,"151,0866862","-33,7219192",Thornleigh,Hornsby,Sydney - North Sydney and Hornsby,New South Wales,Australia
3011BR,Branch,3011BR,"150,9082866","-33,74713125",Kings Park,Blacktown,Sydney - Blacktown,New South Wales,Australia
3012BR,Branch,3012BR,"150,8917144","-34,42959968",Wollongong,Wollongong,Illawarra,New South Wales,Australia
3013BR,Branch,3013BR,"151,3276011","-33,41649281",West Gosford,Gosford,Central Coast,New South Wales,Australia
3014BR,Branch,3014BR,"151,7430107","-32,91735353",Hamilton,Newcastle,Newcastle and Lake Macquarie,New South Wales,Australia
3015BR,Branch,3015BR,"151,2114195","-33,89782",Waterloo,Sydney,Sydney - City and Inner South,New South Wales,Australia
3016BR,Branch,3016BR,"151,191354","-33,817031",St Leonards,Willoughby,Sydney - North Sydney and Hornsby,New South Wales,Australia
3017BR,Branch,3017BR,"149,1314","-35,27565",Braddon,Unincorporated Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australia
3018BR,Branch,3018BR,"150,8161","-33,78387463",Minchinbury,Blacktown,Sydney - Blacktown,New South Wales,Australia
3019BR,Branch,3019BR,"150,9995","-33,9396",Revesby,Bankstown,Sydney - Inner South West,New South Wales,Australia
3020BR,Branch,3020BR,"151,274202","-33,766726",Brookvale,Warringah,Sydney - Northern Beaches,New South Wales,Australia
3021BR,Branch,3021BR,"152,8886603","-31,44862679",Port Macquarie,Port Macquarie-Hastings,Mid North Coast,New South Wales,Australia
3022BR,Branch,3022BR,"152,936172","-29,688706",Grafton,Clarence Valley,Coffs Harbour - Grafton,New South Wales,Australia
3023BR,Branch,3715BR,"151,126993","-34,031554",Caringbah,Sutherland,Sydney - Sutherland,New South Wales,Australia
3024BR,Branch,3024BR,"149,7018","-34,7624",Goulburn,Goulburn Mulwaree,Capital Region,New South Wales,Australia
3025BR,Branch,3025BR,"150,413271","-34,481945",Bowral,Wingecarribee,Southern Highlands and Shoalhaven,New South Wales,Australia
3026BR,Branch,3026BR,"150,8908256","-33,85247533",Wetherill Park,Fairfield,Sydney - South West,New South Wales,Australia
3027BR,Branch,3027BR,"151,0328602","-33,81281608",Rydalmere,Parramatta,Sydney - Parramatta,New South Wales,Australia
3028BR,Branch,3028BR,"150,933901","-33,929643",Moorebank,Liverpool,Sydney - South West,New South Wales,Australia
3029BR,Branch,3029BR,"151,387656","-33,434333",Erina,Gosford,Central Coast,New South Wales,Australia
3030BR,Branch,3030BR,"150,89295","-34,4084",North Wollongong,Wollongong,Illawarra,New South Wales,Australia
3031BR,Branch,3031BR,"150,8493471","-34,44973931",Unanderra,Wollongong,Illawarra,New South Wales,Australia
3032BR,Branch,3710BR,"150,8175","-34,57229",Albion Park Rail,Shellharbour,Illawarra,New South Wales,Australia
3033BR,Branch,3033BR,"151,1474039","-33,8900755",Lewisham,Marrickville,Sydney - Inner West,New South Wales,Australia
3034BR,Branch,3034BR,"150,8110206","-33,61889484",South Windsor,Hawkesbury,Sydney - Outer West and Blue Mountains,New South Wales,Australia
3035BR,Branch,3035BR,"148,615848","-32,243218",Dubbo,Dubbo,Far West and Orana,New South Wales,Australia
3036BR,Branch,3036BR,"151,1458391","-33,95915446",Rockdale,Rockdale,Sydney - Inner South West,New South Wales,Australia
3037BR,Branch,3037BR,"146,0668145","-34,29009544",Griffith,Griffith,Riverina,New South Wales,Australia
3039BR,Branch,3039BR,"149,0874199","-35,35464745",Phillip,Unincorporated Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australia
3040BR,Branch,3040BR,"150,977016","-33,734127",Castle Hill,The Hills,Sydney - Baulkham Hills and Hawkesbury,New South Wales,Australia
3041BR,Branch,3041BR,"151,3065","-33,6745",Mona Vale,Pittwater,Sydney - Northern Beaches,New South Wales,Australia
3042BR,Branch,3042BR,"151,6375","-32,787",Thornton,Maitland,Hunter Valley exc Newcastle,New South Wales,Australia
3043BR,Branch,3043BR,"150,763693","-34,025752",Gregory Hills,Camden,Sydney - South West,New South Wales,Australia
3044BR,Branch,3044BR,"150,6035378","-34,87845333",Nowra,Shoalhaven,Southern Highlands and Shoalhaven,New South Wales,Australia
3045BR,Branch,3045BR,"141,4711044","-31,95494859",Broken Hill,Broken Hill,Far West and Orana,New South Wales,Australia
3046BR,Branch,3046BR,"152,07","-32,7528",Salamander Bay,Port Stephens,Hunter Valley exc Newcastle,New South Wales,Australia
3047BR,Branch,3047BR,"151,045013","-33,845607",Lidcombe,Auburn,Sydney - Parramatta,New South Wales,Australia
3048BR,Branch,3048BR,"150,9076","-31,09149",Tamworth,Tamworth Regional,New England and North West,New South Wales,Australia
3049BR,Branch,3049BR,"151,6474","-30,5164",Armidale,Armidale Dumaresq,New England and North West,New South Wales,Australia
3050BR,Branch,3050BR,"151,1977109","-33,78699832",Chatswood,Willoughby,Sydney - North Sydney and Hornsby,New South Wales,Australia
3051BR,Branch,3051BR,"151,1245472","-33,81727568",Gladesville,Ryde,Sydney - Ryde,New South Wales,Australia
3052BR,Branch,3052BR,"151,476","-33,1156",Morisset,Lake Macquarie,Newcastle and Lake Macquarie,New South Wales,Australia
3053BR,Branch,3053BR,"151,0726887","-34,02658334",Kirrawee,Sutherland,Sydney - Sutherland,New South Wales,Australia
3054BR,Branch,3054BR,"151,2533845","-33,90130394",Waverley,Waverley,Sydney - Eastern Suburbs,New South Wales,Australia
3055BR,Branch,3055BR,"151,695316","-32,988795",Gateshead,Lake Macquarie,Newcastle and Lake Macquarie,New South Wales,Australia
3056BR,Branch,3056BR,"151,1439359","-33,75132785",Pymble,Ku-ring-gai,Sydney - North Sydney and Hornsby,New South Wales,Australia
3057BR,Branch,3057BR,"151,1712077","-32,56114888",Singleton,Singleton,Hunter Valley exc Newcastle,New South Wales,Australia
3058BR,Branch,3058BR,"151,353437","-32,840866",Cessnock,Cessnock,Hunter Valley exc Newcastle,New South Wales,Australia
3059BR,Branch,3059BR,"150,843686","-34,463208",Unanderra,Wollongong,Illawarra,New South Wales,Australia
3060BR,Branch,3113BR,"150,8404146","-33,7169471",Marsden Park,Blacktown,Sydney - Blacktown,New South Wales,Australia
3061BR,Branch,3061BR,"150,8798787","-33,92764099",Prestons,Liverpool,Sydney - South West,New South Wales,Australia
3062BR,Branch,3062BR,"151,5157858","-32,71213315",Rutherford,Maitland,Hunter Valley exc Newcastle,New South Wales,Australia
3063BR,Branch,3063BR,"151,4973789","-33,23732866",Charmhaven,Wyong,Central Coast,New South Wales,Australia
3064BR,Branch,3064BR,"149,1022989","-33,29072226",Orange,Orange,Central West,New South Wales,Australia
3065BR,Branch,3065BR,"148,1623146","-33,1536579",Parkes,Parkes,Central West,New South Wales,Australia
3066BR,Branch,3066BR,"151,0940356","-33,81083341",West Ryde,Ryde,Sydney - Ryde,New South Wales,Australia
3067BR,Branch,3067BR,"149,54346","-33,41468",Bathurst,Bathurst,Central West,New South Wales,Australia
3068BR,Branch,3068BR,"151,6837234","-32,90389644",Wallsend,Newcastle,Newcastle and Lake Macquarie,New South Wales,Australia
3069BR,Branch,3016BR,"151,191316","-33,816946",St Leonards,Willoughby,Sydney - North Sydney and Hornsby,New South Wales,Australia
3070BR,Branch,3015BR,"151,2114195","-33,89782",Waterloo,Sydney,Sydney - City and Inner South,New South Wales,Australia
3071BR,Branch,3071BR,"151,212232","-33,897721",Waterloo,Sydney,Sydney - City and Inner South,New South Wales,Australia
3073BR,Branch,3880BR,"150,920969","-33,821441",Pemulwuy,Holroyd,Sydney - Parramatta,New South Wales,Australia
3074BR,Branch,3074BR,"150,176821","-35,720061",Batemans Bay,Eurobodalla,Capital Region,New South Wales,Australia
3075BR,Branch,3075BR,"150,306468","-33,705465",Katoomba,Blue Mountains,Sydney - Outer West and Blue Mountains,New South Wales,Australia
3076BR,Branch,3076BR,"151,1724","-33,86075",Balmain,Leichhardt,Sydney - Inner West,New South Wales,Australia
3077BR,Branch,3077BR,"153,0883805","-30,31564293",Coffs Harbour South,Coffs Harbour,Coffs Harbour - Grafton,New South Wales,Australia
3078BR,Branch,3078BR,"149,5983623","-32,60473729",Mudgee,Mid-Western Regional,Central West,New South Wales,Australia
3079BR,Branch,3079BR,"150,9465","-33,7788",Seven Hills,Blacktown,Sydney - Blacktown,New South Wales,Australia
3081BR,Branch,3081BR,"151,225158","-33,959808",Matraville,Botany Bay,Sydney - Eastern Suburbs,New South Wales,Australia
3082BR,Branch,3082BR,"149,82547","-36,6655",Bega,Bega Valley,Capital Region,New South Wales,Australia
3083BR,Branch,3083BR,"147,3827419","-35,12199506",East Wagga Wagga,Wagga Wagga,Riverina,New South Wales,Australia
3084BR,Branch,3014BR,"151,74305","-32,91736",Hamilton,Newcastle,Newcastle and Lake Macquarie,New South Wales,Australia
3085BR,Branch,3085BR,"153,2619","-28,821",Lismore,Lismore,Richmond - Tweed,New South Wales,Australia
3087BR,Branch,3087BR,"153,5571147","-28,85028232",Ballina,Ballina,Richmond - Tweed,New South Wales,Australia
3088BR,Branch,3088BR,"151,3921","-33,47349",Kincumber,Gosford,Central Coast,New South Wales,Australia
3089BR,Branch,3713BR,"150,815195","-34,058457",Campbelltown,Campbelltown,Sydney - Outer South West,New South Wales,Australia
3090BR,Branch,3003BR,"147,343011","-35,122016",Wagga Wagga,Wagga Wagga,Riverina,New South Wales,Australia
3091BR,Branch,3880BR,"150,920969","-33,821441",Pemulwuy,Holroyd,Sydney - Parramatta,New South Wales,Australia
3093BR,Branch,3093BR,"150,24441","-30,97545",Gunnedah,Gunnedah,New England and North West,New South Wales,Australia
3094BR,Branch,3094BR,"151,117103","-29,770965",Inverell,Inverell,New England and North West,New South Wales,Australia
3095BR,Branch,3095BR,"151,331736","-33,506652",Blackwall,Gosford,Central Coast,New South Wales,Australia
3096BR,Branch,3096BR,"150,604073","-34,913194",South Nowra,Shoalhaven,Southern Highlands and Shoalhaven,New South Wales,Australia
3097BR,Branch,3097BR,"153,5789","-28,63515619",Byron Bay,Byron,Richmond - Tweed,New South Wales,Australia
3098BR,Branch,3098BR,"148,299736","-34,312192",Young,Young,Capital Region,New South Wales,Australia
3099BR,Branch,3099BR,"151,705072","-32,94101",Kotara,Newcastle,Newcastle and Lake Macquarie,New South Wales,Australia
3100BR,Branch,3100BR,"151,422183","-33,319594",Tuggerah,Wyong,Central Coast,New South Wales,Australia
3101BR,Branch,3147BR,"149,058855","-35,242486",Belconnen,Unincorporated Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australia
3102BR,Branch,3007BR,"149,1386429","-35,21589553",Mitchell,Unincorporated Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,Australia
3104BR,Branch,3018BR,"150,8161","-33,78387463",Minchinbury,Blacktown,Sydney - Blacktown,New South Wales,Australia
3105BR,Branch,3105BR,"151,218828","-33,760945",Forestville,Warringah,Sydney - Northern Beaches,New South Wales,Australia
3107BR,Branch,3107BR,"151,63183","-32,81095",Beresfield,Newcastle,Newcastle and Lake Macquarie,New South Wales,Australia
3108BR,Branch,3713BR,"150,815099","-34,058457",Campbelltown,Campbelltown,Sydney - Outer South West,New South Wales,Australia
3110BR,Branch,3043BR,"150,763693","-34,025752",Gregory Hills,Camden,Sydney - South West,New South Wales,Australia
3111BR,Branch,3100BR,"151,422183","-33,319594",Tuggerah,Wyong,Central Coast,New South Wales,Australia
3112BR,Branch,3112BR,"151,75497","-32,913184",Maryville,Newcastle,Newcastle and Lake Macquarie,New South Wales,Australia
3113BR,Branch,3113BR,"150,8404146","-33,7169471",Marsden Park,Blacktown,Sydney - Blacktown,New South Wales,Australia
3114BR,Branch,3114BR,"150,898404","-32,278779",Muswellbrook,Muswellbrook,Hunter Valley exc Newcastle,New South Wales,Australia
